CITY,STATE,COUNTRY
Peoria,IL,USA
Petersburg,AK,USA
Philadelphia,PA,USA
Phoenix,AZ,USA
Pittsburgh,PA,USA
Plattsburgh,NY,USA
Pocatello,"ID",USA
Ponce,PR,USA
Portland,OR,USA
Portland,ME,USA
Providence,RI,USA
Pueblo,CO,USA
Raleigh,NC,USA
Rapid City,SD,USA
Redding,CA,USA
Redmond,OR,USA
Reno,NV,USA
Rhinelander,WI,USA
Richmond,VA,USA
Roanoke,VA,USA
Rochester,NY,USA
Rochester,MN,USA
Rock Springs,WY,USA
Roswell,NM,USA
Sacramento,CA,USA
Saginaw,MI,USA
Salt Lake City,UT,USA
San Angelo,TX,USA
San Antonio,TX,USA
San Diego,CA,USA
San Francisco,CA,USA
San Jose,CA,USA
San Juan,PR,USA
San Luis Obispo,CA,USA
Santa Ana,CA,USA
Santa Barbara,CA,USA
Santa Fe,NM,USA
Santa Maria,CA,USA
Sarasota,FL,USA
Sault Ste. Marie,MI,USA
Savannah,GA,USA
Seattle,WA,USA
Shreveport,LA,USA
Sioux City,IA,USA
Sioux Falls,SD,USA
Sitka,AK,USA
South Bend,IN,USA
Spokane,WA,USA
Springfield,MO,USA
Springfield,IL,USA
St Cloud,MN,USA
St George,UT,USA
St Louis,MO,USA
St. Augustine,FL,USA
State College,PA,USA
Syracuse,NY,USA
Tallahassee,FL,USA
Tampa,FL,USA
Texarkana,AR,USA
Toledo,OH,USA
Traverse City,MI,USA
Trenton,NJ,USA
Tucson,AZ,USA
Tulsa,OK,USA
Twin Falls,"ID",USA
Tyler,TX,USA
Valdosta,GA,USA
Valparaiso,FL,USA
Vernal,UT,USA
Waco,TX,USA
Waterloo,IA,USA
West Palm Beach,FL,USA
West Yellowstone,MT,USA
White Plains,NY,USA
Wichita,KS,USA
Wichita Falls,TX,USA
Wilkes-Barre/Scranton,PA,USA
Williston,ND,USA
Wilmington,DE,USA
Wilmington,NC,USA
Windsor Locks,CT,USA
Worcester,MA,USA
Wrangell,AK,USA
Yakutat,AK,USA
Yuma,AZ,USA
